meet,pèngjiàn,碰见,4,1,Words,6,
uncle,dàshū,大叔,4,1,Words,6,
fruit,guǒzi,果子,4,1,Words,6,
peel,guǒpí,果皮,4,1,Words,6,
promptly,lián máng,连芒,4,1,Words,6,
Go to,zhuǎndào,转到,4,1,Words,6,
An expression,ya,呀,4,1,Words,6,
Excuse me,bùhǎoyìsī,不好意思,4,1,Words,6,
polite,kèqi,客气,4,1,Words,6,
etiquette,ní lǐ,貎礼,4,1,Words,6,
dormitory,sùshè,宿舍,5,2,Words,6,
daytime,báitiān,白天,5,2,Words,6,
dream,zuòmèng,做梦,5,2,Words,6,
Thief,xiǎotōu,小偷,5,2,Words,6,
slip,liū,溜,5,2,Words,6,
steal,tōu,偷,5,2,Words,6,
welcome,huānyíng,欢迎,5,2,Words,6,
shocked,xiàleyítiào,吓了一跳,5,2,Words,6,
hastily,jímáng,急忙,5,2,Words,6,
squat,dūn,蹲,5,2,Words,6,
dark,hēiàn,黑暗,5,2,Words,6,
at,chù,处,5,2,Words,6,
valuable,bǎoguì,宝贵,6,3,Words,6,
arrival,dǐdá,抵达,6,3,Words,6,
read aloud,lǎngdú,朗读,6,3,Words,6,
about,zuǒyòu,左右,6,3,Words,6,
athlete,yùndòngyuán,运动员,6,3,Words,6,
rice,mǐ,米,6,3,Words,6,
Jet,pēnqì,喷气,6,3,Words,6,
airliner,kèjī,客机,6,3,Words,6,
flight,fēixíng,飞行,6,3,Words,6,
kilometer,gōnglǐ,公里,6,3,Words,6,
world,shìjiè,世界,6,3,Words,6,
settle accounts,suànzhàng,算账,7,4,Words,6,
make trouble,dǎoluàn,捣乱,7,4,Words,6,
Calculate,suàn,算,7,4,Words,6,
add,jiā,加,7,4,Words,6,
See,jiàn,见,7,4,Words,6,
become,chéng,成,7,4,Words,6,
remove,chú,除,7,4,Words,6,
Rice,dàmǐ,大米,7,4,Words,6,
ice cream,bīngqílín,冰淇淋,7,4,Words,6,
total,yígòng,一共,7,4,Words,6,
oh,ò,哦,7,4,Words,6,
equal ,děngyú,等于,7,4,Words,6,
heart,xīnli,心里,3,1,Words,5,
Fear,hàipà,害怕,3,1,Words,5,
Always,yìzhí,一直,3,1,Words,5,
and,gēn,跟,3,1,Words,5,
quarrel,chǎojià,吵架,3,1,Words,5,
Only,zhǐ,只,3,1,Words,5,
Have a holiday,fàngjià,放假,3,1,Words,5,
childhood,xiǎoshíhòu,小时候,3,1,Words,5,
naughty,táoqì,淘气,3,1,Words,5,
happy,kāixīn,开心,3,1,Words,5,
guest,kèren,客人,4,2,Words,5,
ah,ya,呀,4,2,Words,5,
where,nǎlǐ,哪里,4,2,Words,5,
how long,duōcháng,多长,4,2,Words,5,
time,shíjiān,时间,4,2,Words,5,
usually,píngshí,平时,4,2,Words,5,
Disaster,nán,难,4,2,Words,5,
Taiwan,táiwān,台湾,4,2,Words,5,
summer vacation,shǔjià,暑假,4,2,Words,5,
most,dàbùfen,大部分,4,2,Words,5,
Hokkien,mǐnnánhuà,闽南话,4,2,Words,5,
vegetable,cài,菜,5,3,Words,5,
long,cháng,长,5,3,Words,5,
More and more,yuèláiyuè,越来越,5,3,Words,5,
Others,biéde,别的,5,3,Words,5,
Go abroad,chūguó,出国,5,3,Words,5,
company,gōngsī,公司,5,3,Words,5,
work,bànshì,办事,5,3,Words,5,
match,qiúsài,球赛,5,3,Words,5,
important,zhòngyào,重要,5,3,Words,5,
immediately,lìkè,立刻,5,3,Words,5,
remember,jìzhù,记住,5,3,Words,5,
walk slowly,mànzǒu,慢走,5,3,Words,5,
surname,xìng,姓,6,4,Words,5,
Wu,wú,吴,6,4,Words,5,
Mrs,tàitài,太太,6,4,Words,5,
meeting,kāihuì,开会,6,4,Words,5,
parents,jiāzhǎng,家长,6,4,Words,5,
Work,gōngzuò,工作,6,4,Words,5,
busy,máng,忙,6,4,Words,5,
if,rúguǒ,如果,6,4,Words,5,
text,kèwén,课文,6,4,Words,5,
read,dú,读,6,4,Words,5,
care,guānxīn,关心,6,4,Words,5,
add,jiā,加,6,4,Words,5,
